%
%Bedroom2_Heater
%
%Control Home Appliance List <Heater>
%
%Descriptive Features
%1) PreLocation, Data Format : {10013=TVzone,10017=Livingroom,10015=Bedroom1,10014=Kitchen,
%			10018=Bedroom2,10016=Entry,10019=Bathroom,10004=Outside}
%2) Location11, Data Format : {10013=TVzone,10017=Livingroom,10015=Bedroom1,10014=Kitchen,
%			10018=Bedroom2,10016=Entry,10019=Bathroom,10004=Outside}
%3) Location12, Data Format : {10013=TVzone,10017=Livingroom,10015=Bedroom1,10014=Kitchen,
%			10018=Bedroom2,10016=Entry,10019=Bathroom,10004=Outside}
%4) Location13, Data Format : {10013=TVzone,10017=Livingroom,10015=Bedroom1,10014=Kitchen,
%			10018=Bedroom2,10016=Entry,10019=Bathroom,10004=Outside}
%5) Smart Integration Sensor
%5-1) Temperature, Data Format : {Integer}
%5-2) Humidity, Data Format : {Integer}
%5-3) CO2, Data Format : {Integer}
%6) Date, Data Format : {MON,TUE,WED,THU,FRI,SAT,SUN}
%7) Time, Data Format : Date "HH:mm:ss"
%
%Target Feature
%class, Data Format : {01,02,03,04,05,06,07,08,09,10,11,12,13}
%
%class-information : {01=None, 02=Heater_on, 03=Heater_off,
%					04=None, 05=None, 06=None, 07=None, 08=None, 09=None, 10=None, 11=None, 12=None, 13=None}
%
@RELATION kw-hm-htr-2_zone_Bedroom2_Heater_arff_0.0.1

@ATTRIBUTE PreLocation {0,10013,10014,10015,10016,10017,10018,10019,10004}
@ATTRIBUTE Location11 {0,10013,10014,10015,10016,10017,10018,10019,10004}
@ATTRIBUTE Location12 {0,10013,10014,10015,10016,10017,10018,10019,10004}
@ATTRIBUTE Location13 {0,10013,10014,10015,10016,10017,10018,10019,10004}
@ATTRIBUTE Temperature numeric
@ATTRIBUTE Humidity numeric
@ATTRIBUTE CO2 numeric
@ATTRIBUTE Date {MON,TUE,WED,THU,FRI,SAT,SUN}
@ATTRIBUTE Time DATE "HH:mm:ss"
@ATTRIBUTE class {01,02,03,04,05,06,07,08,09,10,11,12,13}

@DATA

%open 2017/09/14 12:16:25
10014,10004,10018,10019,?,?,?,?,?,02
10018,10004,10016,10019,?,?,?,?,?,03
10016,10019,10018,10013,?,?,?,?,?,02
10018,10019,10019,10013,?,?,?,?,?,03
10013,10013,10013,10018,?,?,?,?,?,02
10018,10014,10013,10017,?,?,?,?,?,03
10013,10014,10018,10017,?,?,?,?,?,02
10018,10015,10019,10017,?,?,?,?,?,03
10019,10015,10018,10016,?,?,?,?,?,02
10018,10015,10014,10016,?,?,?,?,?,03
10019,10014,10019,10018,?,?,?,?,?,02
10018,10014,10013,10013,?,?,?,?,?,03
10013,10014,10018,10013,?,?,?,?,?,02
10018,10014,10014,10013,?,?,?,?,?,03
10014,10018,10014,10013,?,?,?,?,?,02
10018,10015,10014,10013,?,?,?,?,?,03
10013,10016,10015,10018,?,?,?,?,?,02
10018,10013,10015,10016,?,?,?,?,?,03
10014,10018,10017,10019,?,?,?,?,?,02
10018,10013,10017,10019,?,?,?,?,?,03
10013,10016,10019,10018,?,?,?,?,?,02
10018,10016,10014,10019,?,?,?,?,?,03
10014,10016,10018,10019,?,?,?,?,?,02
10018,10017,10017,10016,?,?,?,?,?,03
10017,10017,10014,10018,?,?,?,?,?,02
10018,10015,10014,10016,?,?,?,?,?,03
10014,10015,10018,10016,?,?,?,?,?,02
10016,10015,10018,10018,?,?,?,?,?,01
10018,10014,10016,10018,?,?,?,?,?,01
10018,10016,10016,10013,?,?,?,?,?,03
10016,10016,10018,10017,?,?,?,?,?,02
10016,10018,10018,10017,?,?,?,?,?,01
10018,10018,10019,10017,?,?,?,?,?,01
10017,10018,10015,10018,?,?,?,?,?,01
10018,10018,10015,10013,?,?,?,?,?,01
10015,10018,10018,10013,?,?,?,?,?,01
10018,10016,10018,10013,?,?,?,?,?,01
10016,10018,10018,10013,?,?,?,?,?,01
10018,10013,10018,10017,?,?,?,?,?,01
10018,10016,10015,10019,?,?,?,?,?,03
10015,10014,10013,10018,?,?,?,?,?,02
10018,10014,10019,10015,?,?,?,?,?,03
