%
%TVzone
%
%Control Home Appliance List <TV>
%
%Descriptive Features
%1) PreLocation, Data Format : {10013=TVzone,10017=Livingroom,10015=Bedroom1,10014=Kitchen,
%			10018=Bedroom2,10016=Entry,10019=Bathroom,10004=Outside}
%2) Location11, Data Format : {10013=TVzone,10017=Livingroom,10015=Bedroom1,10014=Kitchen,
%			10018=Bedroom2,10016=Entry,10019=Bathroom,10004=Outside}
%3) Location12, Data Format : {10013=TVzone,10017=Livingroom,10015=Bedroom1,10014=Kitchen,
%			10018=Bedroom2,10016=Entry,10019=Bathroom,10004=Outside}
%4) Location13, Data Format : {10013=TVzone,10017=Livingroom,10015=Bedroom1,10014=Kitchen,
%			10018=Bedroom2,10016=Entry,10019=Bathroom,10004=Outside}
%5) Date, Data Format : {MON,TUE,WED,THU,FRI,SAT,SUN}
%6) Time, Data Format : Date "HH:mm:ss"
%
%Target Feature
%class, Data Format : {01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22}
%
%class-information : {01=None, 02=TV_ON(Channel_1),03=TV_ON(Channel_2),04=TV_ON(Channel_3),05=TV_ON(Channel_4),06=TV_ON(Channel_5),07=TV_ON(Channel_6),08=TV_ON(Channel_7),
%					09=TV_ON(Channel_8),10=TV_ON(Channel_9),11=TV_ON(Channel_10),12=TV_ON(Channel_11),13==TV_ON(Channel_12),14=TV_ON(Channel_13),15=TV_ON(Channel_14),
%					16=TV_ON(Channel_15),17=TV_ON(Channel_16),18=TV_ON(Channel_17),19=TV_ON(Channel_18),20=TV_ON(Channel_19),21=TV_ON(Channel_20),22=TV_OFF}
%
@RELATION kw-hm-tvz-1_zone_TVzone_arff_0.0.1

@ATTRIBUTE PreLocation {0,10013,10014,10015,10016,10017,10018,10019,10004}
@ATTRIBUTE Location11 {0,10013,10014,10015,10016,10017,10018,10019,10004}
@ATTRIBUTE Location12 {0,10013,10014,10015,10016,10017,10018,10019,10004}
@ATTRIBUTE Location13 {0,10013,10014,10015,10016,10017,10018,10019,10004}
@ATTRIBUTE Date {MON,TUE,WED,THU,FRI,SAT,SUN}
@ATTRIBUTE Time DATE "HH:mm:ss"
@ATTRIBUTE class {01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22}

@DATA
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15
10017,10013,10013,10013,?,?,15

10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05
10017,10013,10015,10018,?,?,05

10017,10015,10013,10018,?,?,10
10017,10015,10013,10018,?,?,10
10017,10015,10013,10018,?,?,10
10017,10015,10013,10018,?,?,10
10017,10015,10013,10018,?,?,10
10017,10015,10013,10018,?,?,10
10017,10015,10013,10018,?,?,10
10017,10015,10013,10018,?,?,10
